"INSTRUMENT TYPE 
","SYMBOL 
","EXPIRY DATE 
","OPTION TYPE 
","STRIKE PRICE 
","LAST PRICE 
","CHNG 
","%CHNG 
","VOLUME 
(Contracts)","VALUE ","OPEN INTEREST 
","UNDERLYING VALUE 
"
"Index Options","BANKNIFTY","16-Jul-2020","Put","22,000.00","172.20","26.45","18.15",11823,"50,367,242.00",18908,"22,681.10"
"Index Options","BANKNIFTY","16-Jul-2020","Call","23,000.00","303.55","-97.35","-24.28",11326,"79,134,452.80",19136,"22,681.10"
"Index Options","BANKNIFTY","16-Jul-2020","Put","22,500.00","338.85","61.35","22.11",9991,"86,919,961.40",11834,"22,681.10"
"Index Options","BANKNIFTY","16-Jul-2020","Call","23,500.00","143.25","-61.35","-29.99",9821,"38,085,546.40",14136,"22,681.10"
"Index Options","NIFTY","16-Jul-2020","Put","10,700.00","88.05","11.65","15.25",9545,"84,011,382.00",17118,"10,765.25"
"Index Options","NIFTY","16-Jul-2020","Call","11,000.00","36.75","-10.55","-22.30",8550,"29,886,439.50",19239,"10,765.25"
"Index Options","BANKNIFTY","16-Jul-2020","Call","24,000.00","59.75","-31.10","-34.23",7736,"11,778,015.20",15466,"22,681.10"
"Index Options","NIFTY","16-Jul-2020","Call","10,800.00","111.60","-21.15","-15.93",7434,"80,694,075.00",16261,"10,765.25"
"Index Options","BANKNIFTY","16-Jul-2020","Put","21,500.00","80.95","7.40","10.06",6987,"14,910,112.00",14078,"22,681.10"
"Index Options","NIFTY","16-Jul-2020","Put","10,800.00","131.30","17.60","15.48",6701,"82,724,692.50",18078,"10,765.25"
"Index Futures","BANKNIFTY","30-Jul-2020","-","-","22,720.00","-188.10","-0.82",6418,"4,154,382,347.50",58570,"22,681.10"
"Index Options","NIFTY","16-Jul-2020","Call","10,900.00","67.55","-16.55","-19.68",6148,"39,398,260.50",11570,"10,765.25"
"Index Options","NIFTY","16-Jul-2020","Call","11,100.00","18.00","-6.75","-27.27",5791,"9,028,928.25",10990,"10,765.25"
"Index Options","NIFTY","16-Jul-2020","Put","10,600.00","57.15","7.25","14.53",5770,"33,790,300.50",13565,"10,765.25"
"Index Futures","NIFTY","30-Jul-2020","-","-","10,782.00","-41.55","-0.38",5032,"5,067,254,910.00",155936,"10,765.25"
"Stock Futures","TCS","30-Jul-2020","-","-","2,184.35","-9.75","-0.44",4728,"3,636,305,556.00",32982,"2,186.60"
"Index Options","NIFTY","16-Jul-2020","Put","10,500.00","37.15","4.30","13.09",4682,"17,132,229.00",15836,"10,765.25"
"Index Options","NIFTY","16-Jul-2020","Call","11,300.00","4.75","-1.90","-28.57",3742,"1,653,257.25",12172,"10,765.25"
"Index Options","NIFTY","16-Jul-2020","Call","11,200.00","8.65","-3.75","-30.24",3636,"2,857,315.50",13739,"10,765.25"
"Index Options","NIFTY","16-Jul-2020","Put","10,400.00","23.65","1.90","8.74",3345,"7,396,596.00",10444,"10,765.25"
